Grand Prix,RED BULL RACING,FERRARI,MERCEDES,ALPINE,MCLAREN,ALFA ROMEO,ASTON MARTIN ARAMCO,HAAS,ALPHATAURI,WILLIAMS,
Bahrain Grand Prix,0,44,27,8,0,9,0,10,4,0,
Saudi Arabian Grand Prix,37,34,11,8,6,0,0,2,4,0,
Australian Grand Prix,18,26,27,6,18,4,0,0,2,1,
Emilia Romagna Grand Prix,58,20,12,0,22,12,5,3,6,0,
Miami Grand Prix,38,33,18,4,0,6,1,0,0,2,
Spanish Grand Prix,44,12,25,8,4,8,0,0,1,0,
Monaco Grand Prix,40,30,14,6,9,2,1,0,0,0,
Azerbaijan Grand Prix,44,0,27,7,6,0,8,0,10,0,
Canadian Grand Prix,25,29,27,10,0,10,1,0,0,0,
British Grand Prix,24,37,16,10,8,0,2,5,0,0,
Austrian Grand Prix,31,38,33,14,8,0,0,14,0,0,
French Grand Prix,37,11,33,12,8,0,1,0,0,0,
Hungarian Grand Prix,35,20,34,6,6,0,1,0,0,0,
Belgian Grand Prix,44,23,12,16,0,0,4,0,2,1,
Dutch Grand Prix,36,19,30,10,6,0,1,0,0,0,
Italian Grand Prix,34,30,25,0,6,1,0,0,4,0,
Singapore Grand Prix,31,33,2,0,22,0,12,0,1,0,
Japanese Grand Prix,43,15,14,18,1,0,8,0,0,2,
United States Grand Prix,37,15,29,6,8,0,4,2,1,0,
Mexico City Grand Prix,40,18,31,4,8,1,0,0,0,0,
Sao Paulo Grand Prix,23,37,58,14,2,2,1,1,0,0,
Abu Dhabi Grand Prix,40,30,10,6,11,0,5,0,0,0
