Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor
1,Bahrain Grand Prix,Charles Leclerc,Charles Leclerc,Charles Leclerc,Ferrari
2,Saudi Arabian Grand Prix,Sergio Perez,Charles Leclerc,Max Verstappen,Red Bull Racing-RBPT
3,Australian Grand Prix,Charles Leclerc,Charles Leclerc,Charles Leclerc,Ferrari
4,Emilia Romagna Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-RBPT
5,Miami Grand Prix,Charles Leclerc,Max Verstappen,Max Verstappen,Red Bull Racing-RBPT
6,Spanish Grand Prix,Charles Leclerc,Sergio Perez,Max Verstappen,Red Bull Racing-RBPT
7,Monaco Grand Prix,Charles Leclerc,Lando Norris,Sergio Perez,Red Bull Racing-RBPT
8,Azerbaijan Grand Prix,Charles Leclerc,Sergio Perez,Max Verstappen,Red Bull Racing-RBPT
9,Canadian Grand Prix,Max Verstappen,Carlos Sainz Jr.,Max Verstappen,Red Bull Racing-RBPT
10,British Grand Prix,Carlos Sainz Jr.,Lewis Hamilton,Carlos Sainz Jr.,Ferrari
11,Austrian Grand Prix,Max Verstappen,Max Verstappen,Charles Leclerc,Ferrari
12,French Grand Prix,Charles Leclerc,Carlos Sainz Jr.,Max Verstappen,Red Bull Racing-RBPT
13,Hungarian Grand Prix,George Russell,Lewis Hamilton,Max Verstappen,Red Bull Racing-RBPT
14,Belgian Grand Prix,Carlos Sainz Jr.,Max Verstappen,Max Verstappen,Red Bull Racing-RBPT
15,Dutch Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-RBPT
16,Italian Grand Prix,Charles Leclerc,Sergio Perez,Max Verstappen,Red Bull Racing-RBPT
17,Singapore Grand Prix,Charles Leclerc,George Russell,Sergio Perez,Red Bull Racing-RBPT
18,Japanese Grand Prix,Max Verstappen,Zhou Guanyu,Max Verstappen,Red Bull Racing-RBPT
19,United States Grand Prix,Carlos Sainz Jr.,George Russell,Max Verstappen,Red Bull Racing-RBPT
20,Mexico City Grand Prix,Max Verstappen,George Russell,Max Verstappen,Red Bull Racing-RBPT
21,Sao Paulo Grand Prix,Kevin Magnussen,George Russell,George Russell,Mercedes
22,Abu Dhabi Grand Prix,Max Verstappen,Lando Norris,Max Verstappen,Red Bull Racing-RBPT
